campaign_type,target_audience,duration,channel_used,impressions,clicks,leads,conversions,revenue,acquisition_cost,roi,language,engagement_score,customer_segment,date,brand,total_acquisition_cost
Influencer,Premium Shoppers,7.0,"WhatsApp, YouTube, Instagram",96219.0,11237.0,5367.0,3599.0,910547.0,68.47,2.7,Hindi,21.0,Working Women,2024-08-31,nykaa,246423.53
Influencer,Premium Shoppers,30.0,YouTube,37002.0,2753.0,979.0,780.0,371280.0,123.02,2.87,Tamil,12.19,College Students,2025-05-29,nykaa,95955.59999999999
SEO,College Students,29.0,"Google, Instagram",65776.0,4977.0,1606.0,901.0,370311.0,74.44,4.52,Bengali,11.38,College Students,2025-04-26,nykaa,67070.44
Social Media,Tier 2 City Customers,12.0,WhatsApp,57520.0,3932.0,2101.0,1431.0,1027458.0,128.93,4.57,English,12.98,Premium Shoppers,2024-08-24,nykaa,184498.83000000002
Email,Working Women,24.0,"Facebook, WhatsApp, Google",52752.0,5831.0,3299.0,2095.0,509085.0,139.77,0.74,Bengali,21.28,Youth,2024-08-05,nykaa,292818.15
Social Media,College Students,5.0,YouTube,14944.0,1268.0,482.0,318.0,104304.0,319.84,0.03,Hindi,13.84,Working Women,2025-04-02,nykaa,101709.12
SEO,Working Women,14.0,Google,41687.0,2215.0,911.0,568.0,358408.0,277.67,1.27,English,8.86,Working Women,2025-03-04,nykaa,157716.56
Paid Ads,Working Women,30.0,"WhatsApp, Facebook",67932.0,9449.0,5194.0,3230.0,839800.0,33.28,6.81,English,26.31,Working Women,2024-11-04,nykaa,107494.40000000001
Email,Tier 2 City Customers,17.0,Instagram,77985.0,6461.0,3033.0,1379.0,995638.0,180.5,3.0,English,13.94,Premium Shoppers,2024-08-07,nykaa,248909.5
Paid Ads,Tier 2 City Customers,16.0,Instagram,55226.0,8932.0,3662.0,1790.0,721370.0,150.42,1.68,Bengali,26.05,Premium Shoppers,2025-03-18,nykaa,269251.8
Influencer,Working Women,11.0,"Email, Facebook",72001.0,8840.0,2425.0,1271.0,846486.0,54.74,11.17,English,17.41,Tier 2 City Customers,2024-07-27,nykaa,69574.54000000001
Email,Youth,17.0,"WhatsApp, YouTube",43454.0,5590.0,1836.0,1046.0,343088.0,207.35500000000002,0.58,Hindi,19.5,Tier 2 City Customers,2024-12-03,nykaa,216893.33000000002
Influencer,College Students,28.0,"Instagram, Google",24558.0,1700.0,671.0,326.0,235698.0,189.39,2.82,Tamil,10.98,Tier 2 City Customers,2025-02-13,nykaa,61741.13999999999
Email,Tier 2 City Customers,12.0,"Instagram, Email, YouTube",51784.0,3169.0,1762.0,1042.0,803382.0,141.09,4.46,Bengali,11.53,Tier 2 City Customers,2025-03-11,nykaa,147015.78
SEO,Tier 2 City Customers,12.0,"YouTube, Facebook, Google",61841.0,6086.0,2165.0,1542.0,1201218.0,38.2,19.39,Bengali,15.84,College Students,2025-01-10,nykaa,58904.4
SEO,Youth,5.0,Email,80683.0,2154.0,985.0,786.0,248376.0,244.18,0.29,Bengali,4.86,Youth,2025-04-30,nykaa,191925.48
SEO,Youth,8.0,WhatsApp,80457.0,9646.0,2336.0,1659.0,643692.0,125.03,2.1,Hindi,16.95,College Students,2024-09-01,nykaa,207424.77
SEO,College Students,13.0,"YouTube, WhatsApp",34565.0,819.0,304.0,211.0,137150.0,1099.71,-0.41,Hindi,3.86,Youth,2025-05-28,nykaa,232038.81
Email,Working Women,25.0,"YouTube, Facebook, Google",41740.0,1039.0,561.0,322.0,154882.0,328.9,0.46,Tamil,4.6,Tier 2 City Customers,2025-04-29,nykaa,105905.79999999999
Social Media,College Students,29.0,Instagram,28052.0,1240.0,513.0,377.0,166634.0,221.3,1.0,Tamil,7.59,Tier 2 City Customers,2024-08-17,nykaa,83430.1
Social Media,Youth,6.0,"WhatsApp, Facebook, YouTube",36769.0,2948.0,797.0,370.0,237170.0,576.24,0.11,Tamil,11.19,Premium Shoppers,2025-02-06,nykaa,213208.80000000002
Email,College Students,26.0,WhatsApp,59910.0,3712.0,1431.0,951.0,427950.0,303.73,0.48,English,10.17,Working Women,2025-03-25,nykaa,288847.23000000004
Social Media,Working Women,11.0,Google,68542.0,8178.0,3828.0,1207.0,280024.0,179.89,0.29,Hindi,19.28,Tier 2 City Customers,2024-12-23,nykaa,217127.22999999998
Influencer,College Students,17.0,"Google, YouTube",73165.0,5735.0,2225.0,1582.0,1170680.0,143.08,4.17,Tamil,13.04,College Students,2024-12-27,nykaa,226352.56000000003
Email,Working Women,17.0,"Instagram, YouTube",26416.0,1545.0,401.0,226.0,68478.0,395.28,-0.23,Hindi,8.22,College Students,2024-12-27,nykaa,89333.28
Paid Ads,Working Women,29.0,YouTube,48871.0,6658.0,3972.0,2058.0,1636110.0,133.98,4.93,Bengali,25.96,Working Women,2024-11-14,nykaa,275730.83999999997
Influencer,Tier 2 City Customers,17.0,"Google, Facebook, Instagram",74794.0,6057.0,1939.0,1470.0,799680.0,100.41,4.42,English,12.66,Youth,2024-11-14,nykaa,147602.69999999998
Social Media,Premium Shoppers,13.0,"Instagram, YouTube, WhatsApp",37745.0,1091.0,361.0,114.0,45030.0,1000.73,-0.61,English,4.15,Working Women,2025-02-23,nykaa,114083.22
Email,Working Women,26.0,"Instagram, Facebook, Google",41410.0,905.0,449.0,156.0,75504.0,1252.69,-0.61,Bengali,3.65,Premium Shoppers,2024-07-20,nykaa,195419.64
Social Media,Tier 2 City Customers,11.0,Google,10613.0,1093.0,468.0,344.0,73272.0,693.71,-0.69,Hindi,17.95,Working Women,2025-05-09,nykaa,238636.24000000002
SEO,Youth,9.0,"WhatsApp, Facebook, Google",14824.0,1848.0,713.0,229.0,111294.0,542.97,-0.1,Hindi,18.82,Premium Shoppers,2025-06-11,nykaa,124340.13
Influencer,Tier 2 City Customers,22.0,WhatsApp,38900.0,4362.0,1416.0,1056.0,291456.0,212.22,0.3,Tamil,17.57,College Students,2024-11-06,nykaa,224104.32
Paid Ads,Youth,10.0,"Email, WhatsApp, Facebook",27040.0,1352.0,274.0,153.0,42075.0,460.92,-0.4,Hindi,6.58,Premium Shoppers,2025-06-07,nykaa,70520.76000000001
Influencer,College Students,16.0,"Facebook, Instagram",45406.0,2768.0,1052.0,747.0,511695.0,321.69,1.13,Bengali,10.06,Youth,2024-09-29,nykaa,240302.43
Social Media,College Students,5.0,"Instagram, Google",48041.0,2478.0,1229.0,553.0,311892.0,511.7,0.1,English,8.87,College Students,2025-06-20,nykaa,282970.1
Social Media,Working Women,30.0,"Instagram, Facebook, Email",84207.0,6175.0,1941.0,1352.0,461032.0,214.63,0.59,Bengali,11.24,Working Women,2024-10-29,nykaa,290179.76
Social Media,Youth,16.0,"Google, WhatsApp",77548.0,1844.0,706.0,226.0,72772.0,1072.32,-0.7,Hindi,3.58,Tier 2 City Customers,2024-08-27,nykaa,242344.31999999998
Email,Working Women,13.0,"Instagram, Email",76619.0,7278.0,3935.0,1746.0,790938.0,152.82,1.96,Tamil,16.91,Tier 2 City Customers,2024-11-05,nykaa,266823.72
SEO,Tier 2 City Customers,21.0,YouTube,37600.0,2906.0,1624.0,1006.0,690116.0,253.33,1.71,English,14.72,Premium Shoppers,2025-04-10,nykaa,254849.98
Social Media,College Students,7.0,"WhatsApp, Instagram, Google",32302.0,1239.0,367.0,156.0,124800.0,1295.52,-0.38,Hindi,5.45,Tier 2 City Customers,2025-04-12,nykaa,202101.12
Email,Premium Shoppers,9.0,"Email, YouTube, WhatsApp",11042.0,459.0,189.0,96.0,60960.0,2660.53,-0.76,Hindi,6.74,College Students,2025-01-25,nykaa,255410.88
Paid Ads,College Students,18.0,Google,12916.0,1058.0,269.0,84.0,23352.0,725.46,-0.62,Hindi,10.92,Working Women,2024-08-05,nykaa,60938.64
Paid Ads,Working Women,29.0,"Google, Facebook, Instagram",73403.0,7231.0,1683.0,766.0,311762.0,337.92,0.2,English,13.19,Youth,2024-08-11,nykaa,258846.72
Paid Ads,Premium Shoppers,18.0,Instagram,55226.0,1814.0,870.0,350.0,232750.0,827.25,-0.2,Tamil,5.49,Youth,2024-09-10,nykaa,289537.5
Email,Working Women,21.0,"Email, WhatsApp",96478.0,3700.0,1111.0,711.0,366876.0,282.59,0.83,Hindi,5.72,College Students,2024-11-23,nykaa,200921.49
SEO,Working Women,21.0,Email,96239.0,3852.0,2172.0,1568.0,460992.0,110.5,1.66,English,7.89,Working Women,2024-11-19,nykaa,173264.0
Paid Ads,Working Women,22.0,"Instagram, WhatsApp, Google",15712.0,2049.0,698.0,518.0,161616.0,185.06,0.69,English,20.78,Premium Shoppers,2025-03-24,nykaa,95861.08
SEO,Tier 2 City Customers,5.0,Instagram,65961.0,3729.0,1011.0,805.0,642390.0,117.32,5.8,Bengali,8.41,Tier 2 City Customers,2025-01-08,nykaa,94442.59999999999
Influencer,Working Women,24.0,"Google, Facebook",91963.0,9000.0,4091.0,1250.0,507500.0,150.39,1.7,Hindi,15.59,Youth,2025-01-07,nykaa,187987.49999999997
Social Media,Tier 2 City Customers,10.0,"Email, Instagram, Facebook",41454.0,6034.0,2744.0,1271.0,441037.0,64.77,4.36,Tamil,24.24,Premium Shoppers,2024-10-20,nykaa,82322.67
Paid Ads,Premium Shoppers,27.0,"Google, YouTube, WhatsApp",62808.0,3704.0,743.0,431.0,286615.0,207.69,2.2,Bengali,7.77,Working Women,2025-03-21,nykaa,89514.39
Paid Ads,College Students,16.0,WhatsApp,44568.0,5722.0,2794.0,2033.0,742045.0,119.14,2.06,Hindi,23.67,College Students,2025-05-31,nykaa,242211.62
SEO,Premium Shoppers,23.0,"Email, WhatsApp",78393.0,10859.0,4614.0,2346.0,1381794.0,48.99,11.02,Bengali,22.73,Working Women,2024-08-23,nykaa,114930.54000000001
SEO,Youth,16.0,Google,36778.0,2873.0,976.0,338.0,240656.0,547.44,0.3,Hindi,11.38,Tier 2 City Customers,2024-11-05,nykaa,185034.72000000003
SEO,Working Women,13.0,"Facebook, Instagram, YouTube",16762.0,1911.0,519.0,285.0,180405.0,1018.44,-0.38,Hindi,16.2,Youth,2024-11-20,nykaa,290255.4
Influencer,College Students,8.0,Facebook,55226.0,1590.0,535.0,416.0,143104.0,130.39,1.64,Bengali,4.6,Premium Shoppers,2024-12-23,nykaa,54242.23999999999
Influencer,College Students,16.0,Google,32725.0,917.0,353.0,262.0,133096.0,277.31,0.83,Bengali,4.68,Premium Shoppers,2025-05-27,nykaa,72655.22
Social Media,Tier 2 City Customers,6.0,"Facebook, Google",37912.0,2193.0,1175.0,779.0,555427.0,69.68,9.23,Bengali,10.94,Working Women,2025-06-19,nykaa,54280.72000000001
Influencer,Youth,28.0,"WhatsApp, Facebook, Instagram",84684.0,6830.0,3006.0,2183.0,1403669.0,37.23,16.27,English,14.19,Working Women,2024-09-13,nykaa,81273.09
Influencer,Working Women,10.0,"WhatsApp, Facebook",71767.0,10510.0,5442.0,3276.0,1539720.0,60.15,6.81,Bengali,26.79,Working Women,2025-05-10,nykaa,197051.4
Paid Ads,College Students,17.0,"WhatsApp, Facebook, YouTube",92095.0,9825.0,4595.0,2248.0,1717472.0,34.81,20.95,English,18.1,Working Women,2024-08-23,nykaa,78252.88
Email,Premium Shoppers,15.0,YouTube,46818.0,3423.0,2031.0,1219.0,884994.0,154.12,3.71,Tamil,14.25,Youth,2025-06-13,nykaa,187872.28
Influencer,Premium Shoppers,26.0,Instagram,80082.0,10026.0,2337.0,1352.0,913952.0,80.25,7.42,English,17.13,Tier 2 City Customers,2024-11-17,nykaa,108498.0
Email,Working Women,11.0,Instagram,18334.0,2001.0,1096.0,868.0,402752.0,165.01,1.81,Bengali,21.63,Premium Shoppers,2025-01-09,nykaa,143228.68
Influencer,Working Women,21.0,Instagram,74764.0,8071.0,3586.0,1901.0,885866.0,155.84,1.99,Hindi,18.13,Premium Shoppers,2025-01-24,nykaa,296251.84
Social Media,Tier 2 City Customers,29.0,Instagram,74129.0,2626.0,1462.0,1163.0,623368.0,141.12,2.8,Hindi,7.08,Premium Shoppers,2025-04-02,nykaa,164122.56
Influencer,Tier 2 City Customers,17.0,Facebook,27923.0,2989.0,1452.0,817.0,625822.0,359.28,1.13,Hindi,18.83,Working Women,2025-05-19,nykaa,293531.75999999995
Paid Ads,College Students,28.0,"Instagram, Facebook, Email",19354.0,637.0,246.0,74.0,33522.0,1025.97,-0.56,English,4.94,Premium Shoppers,2024-12-15,nykaa,75921.78
Social Media,Working Women,8.0,"Instagram, Google",25188.0,1025.0,472.0,187.0,118558.0,480.96,0.32,Hindi,6.69,Tier 2 City Customers,2024-11-26,nykaa,89939.51999999999
Influencer,Premium Shoppers,18.0,WhatsApp,29617.0,2372.0,865.0,538.0,368530.0,168.8,3.06,Tamil,12.75,College Students,2025-01-20,nykaa,90814.40000000001
SEO,Premium Shoppers,27.0,"Email, Instagram",25041.0,3511.0,991.0,379.0,223231.0,598.76,-0.02,Hindi,19.49,Working Women,2024-12-04,nykaa,226930.04
Social Media,Working Women,11.0,"Email, Google",78990.0,2360.0,1125.0,732.0,453840.0,347.66,0.78,Hindi,5.34,Youth,2025-05-21,nykaa,254487.12000000002
Email,Youth,30.0,Facebook,88461.0,2327.0,999.0,358.0,100956.0,410.1,-0.31,Hindi,4.16,Youth,2025-05-01,nykaa,146815.80000000002
Paid Ads,Tier 2 City Customers,16.0,Instagram,16853.0,656.0,378.0,287.0,80073.0,1039.27,-0.73,Tamil,7.84,Premium Shoppers,2025-06-04,nykaa,298270.49
SEO,Working Women,20.0,"WhatsApp, Google",83484.0,6219.0,2837.0,1554.0,536130.0,69.08,3.99,Tamil,12.71,Youth,2025-04-29,nykaa,107350.31999999999
Paid Ads,Premium Shoppers,18.0,Facebook,79948.0,1641.0,630.0,499.0,279440.0,465.08,0.2,Tamil,3.46,Working Women,2024-11-24,nykaa,232074.91999999998
Influencer,Working Women,21.0,"Instagram, Facebook",23866.0,1157.0,471.0,295.0,98530.0,542.93,-0.38,Tamil,8.06,Premium Shoppers,2025-01-22,nykaa,160164.34999999998
Social Media,Tier 2 City Customers,23.0,Facebook,26385.0,2511.0,940.0,434.0,199640.0,653.94,-0.3,Hindi,14.72,Premium Shoppers,2025-02-24,nykaa,283809.96
Email,Premium Shoppers,5.0,"Email, YouTube, Facebook",68710.0,8506.0,4996.0,3472.0,2249856.0,38.16,15.98,Tamil,24.7,Tier 2 City Customers,2025-05-30,nykaa,132491.52
Email,Premium Shoppers,17.0,"Google, WhatsApp",66210.0,5609.0,2776.0,1529.0,518331.0,101.69,2.33,Tamil,14.97,College Students,2025-05-30,nykaa,155484.01
Paid Ads,College Students,10.0,"WhatsApp, Google, Email",29278.0,3293.0,1504.0,1073.0,716764.0,254.52,1.62,English,20.05,College Students,2025-04-07,nykaa,273099.96
SEO,College Students,14.0,Facebook,13214.0,530.0,213.0,156.0,118872.0,1568.28,-0.51,Hindi,6.8,College Students,2024-09-03,nykaa,244651.68
Influencer,Youth,20.0,Instagram,54685.0,5423.0,2255.0,1052.0,724828.0,279.17,1.47,Hindi,15.96,Youth,2025-01-12,nykaa,293686.84
Paid Ads,Premium Shoppers,15.0,Facebook,40445.0,2689.0,1201.0,814.0,351648.0,75.35,4.73,Hindi,11.63,College Students,2024-11-19,nykaa,61334.899999999994
Influencer,Premium Shoppers,18.0,"Email, Google",45821.0,2552.0,965.0,733.0,433936.0,245.74,1.41,Bengali,9.28,Premium Shoppers,2024-12-06,nykaa,180127.42
Influencer,Youth,9.0,Instagram,51791.0,2432.0,1287.0,638.0,304326.0,421.13,0.13,English,8.41,Premium Shoppers,2025-05-01,nykaa,268680.94
Influencer,Tier 2 City Customers,20.0,"Facebook, Email, YouTube",82365.0,9920.0,2972.0,2086.0,1410136.0,43.11,14.68,Hindi,18.18,College Students,2025-02-17,nykaa,89927.45999999999
SEO,Premium Shoppers,7.0,"Email, YouTube, Facebook",68867.0,5342.0,2966.0,1331.0,806586.0,174.47,2.47,Tamil,14.0,Working Women,2024-07-27,nykaa,232219.57
Influencer,College Students,13.0,Email,28582.0,2086.0,630.0,411.0,286467.0,590.9,0.18,English,10.94,Premium Shoppers,2025-03-30,nykaa,242859.9
Social Media,Tier 2 City Customers,5.0,"Facebook, Instagram, WhatsApp",51059.0,4666.0,1088.0,708.0,489228.0,175.27,2.94,English,12.66,Tier 2 City Customers,2024-12-11,nykaa,124091.16
Email,College Students,24.0,Google,45295.0,1953.0,473.0,282.0,126618.0,1037.53,-0.57,English,5.98,Youth,2024-12-19,nykaa,292583.46
Social Media,Working Women,19.0,Email,69264.0,4578.0,2686.0,1713.0,426537.0,68.25,2.65,Tamil,12.96,Premium Shoppers,2024-10-17,nykaa,116912.25
Paid Ads,Tier 2 City Customers,30.0,"YouTube, Instagram, Email",63757.0,7705.0,2853.0,2135.0,1505175.0,121.85,4.79,Bengali,19.91,Working Women,2024-07-30,nykaa,260149.75
Influencer,College Students,14.0,"Instagram, YouTube",80088.0,8372.0,4336.0,1362.0,659208.0,164.45,1.94,Hindi,17.57,Working Women,2024-07-30,nykaa,223980.9
Email,Tier 2 City Customers,22.0,Google,19512.0,1861.0,467.0,154.0,69454.0,749.47,-0.4,Tamil,12.72,College Students,2025-06-06,nykaa,115418.38
SEO,Youth,17.0,Email,88983.0,3681.0,1549.0,1150.0,326600.0,259.94,0.09,Hindi,7.17,Working Women,2025-03-31,nykaa,298931.0
SEO,College Students,24.0,"Email, YouTube, Facebook",34872.0,2630.0,1328.0,742.0,389550.0,288.64,0.82,English,13.48,College Students,2025-04-21,nykaa,214170.87999999998
Paid Ads,Tier 2 City Customers,10.0,Email,25223.0,1517.0,427.0,205.0,151495.0,1092.03,-0.32,Bengali,8.52,Premium Shoppers,2025-03-19,nykaa,223866.15
Social Media,College Students,24.0,"Instagram, Google",48451.0,4172.0,1639.0,744.0,575856.0,194.41,2.98,English,13.53,Tier 2 City Customers,2024-08-23,nykaa,144641.04
Influencer,College Students,8.0,WhatsApp,65218.0,3095.0,1207.0,605.0,203280.0,157.55,1.13,Tamil,7.52,Youth,2025-03-30,nykaa,95317.75
SEO,Youth,14.0,"Instagram, YouTube, WhatsApp",67143.0,6270.0,1563.0,996.0,367524.0,172.55,1.14,English,13.15,College Students,2025-04-13,nykaa,171859.80000000002
Paid Ads,College Students,15.0,"Email, YouTube, Google",52106.0,6537.0,3340.0,2149.0,530803.0,87.02,1.84,Bengali,23.08,Tier 2 City Customers,2025-06-14,nykaa,187005.97999999998
SEO,Premium Shoppers,16.0,"Google, WhatsApp, YouTube",47178.0,5999.0,1619.0,787.0,208555.0,108.26,1.45,English,17.82,Working Women,2024-09-05,nykaa,85200.62000000001
Social Media,College Students,20.0,"WhatsApp, Instagram",36818.0,4147.0,1962.0,821.0,605077.0,285.43,1.58,English,18.82,Premium Shoppers,2024-10-30,nykaa,234338.03
Influencer,Tier 2 City Customers,29.0,"Email, Instagram, Facebook",43779.0,6115.0,2546.0,830.0,486380.0,147.54,2.97,Hindi,21.68,Premium Shoppers,2024-10-30,nykaa,122458.2
Email,Premium Shoppers,24.0,"Google, Email",86278.0,8468.0,2627.0,894.0,313794.0,209.55,0.68,Bengali,13.9,Working Women,2025-01-06,nykaa,187337.7
SEO,Working Women,6.0,"WhatsApp, Instagram, Email",19321.0,2135.0,842.0,668.0,315296.0,288.51,0.64,English,18.87,Tier 2 City Customers,2025-05-31,nykaa,192724.68
Social Media,Working Women,11.0,Instagram,84073.0,8987.0,2501.0,1391.0,299065.0,200.36,0.07,Tamil,15.32,Youth,2025-02-03,nykaa,278700.76
Paid Ads,College Students,12.0,WhatsApp,65938.0,3288.0,787.0,503.0,308842.0,584.84,0.05,Bengali,6.94,Working Women,2024-11-14,nykaa,294174.52
Email,Working Women,15.0,"Email, Instagram",74125.0,2515.0,789.0,398.0,280988.0,169.17,3.17,Hindi,4.99,Premium Shoppers,2025-03-05,nykaa,67329.65999999999
SEO,Working Women,14.0,"YouTube, Facebook, WhatsApp",25506.0,1598.0,642.0,445.0,208260.0,621.85,-0.25,Hindi,10.53,Working Women,2025-03-05,nykaa,276723.25
Email,Tier 2 City Customers,9.0,"Email, Facebook, WhatsApp",10381.0,1025.0,243.0,165.0,96690.0,1097.96,-0.47,Tamil,13.8,College Students,2025-04-07,nykaa,181163.4
Email,Premium Shoppers,6.0,WhatsApp,90785.0,7279.0,3900.0,2596.0,1056572.0,43.42,8.37,Hindi,15.17,Working Women,2024-12-31,nykaa,112718.32
Email,Youth,25.0,"Facebook, YouTube, Email",60728.0,6390.0,3134.0,1810.0,1134870.0,110.2,4.69,Tamil,18.66,College Students,2025-02-27,nykaa,199462.0
Social Media,Working Women,7.0,Instagram,16698.0,556.0,128.0,57.0,42123.0,3507.65,-0.79,Tamil,4.44,Premium Shoppers,2025-02-27,nykaa,199936.05000000002
SEO,Premium Shoppers,24.0,"Email, Google",90982.0,3250.0,1622.0,1245.0,750735.0,142.18,3.24,English,6.72,Tier 2 City Customers,2025-02-03,nykaa,177014.1
Paid Ads,Working Women,26.0,"Google, YouTube, Facebook",32842.0,4033.0,1838.0,1444.0,1121988.0,191.29,3.06,Tamil,22.27,Tier 2 City Customers,2024-11-29,nykaa,276222.76
Social Media,Youth,28.0,"Google, Email, YouTube",32021.0,3377.0,1323.0,474.0,179172.0,395.56,-0.04,Tamil,16.16,Premium Shoppers,2025-05-05,nykaa,187495.44
